Cycle	Now Cost	Average Cost	Number of Replication
423	314	977.1108490566038	1
424	0	974.8117647058823	0
425	328	973.293427230047	1
426	0	971.0140515222482	0
427	334	969.5257009345794	1
428	0	967.2657342657343	0
429	0	965.0162790697674	0
430	0	962.7772621809745	0
431	0	960.5486111111111	0
432	0	958.3302540415705	0
433	0	956.1221198156682	0
434	0	953.9241379310345	0
435	0	951.7362385321101	0
436	0	949.558352402746	0
437	0	947.3904109589041	0
438	0	945.2323462414579	0
439	0	943.084090909091	0
440	0	940.9455782312925	0
441	0	938.816742081448	0
442	0	936.6975169300226	0
443	0	934.5878378378378	0
444	0	932.4876404494382	0
445	0	930.396860986547	0
446	0	928.3154362416108	0
447	0	926.2433035714286	0
448	0	924.1804008908686	0
449	0	922.1266666666667	0
450	0	920.0820399113082	0
451	0	918.0464601769911	0
452	0	916.0198675496689	0
453	0	914.0022026431718	0
454	0	911.9934065934066	0
455	0	909.9934210526316	0
456	0	908.0021881838074	0
457	0	906.0196506550218	0
458	0	904.0457516339869	0
459	0	902.0804347826087	0
460	0	900.1236442516268	0
461	0	898.1753246753246	0
462	0	896.2354211663067	0
463	0	894.3038793103449	0
464	0	892.3806451612903	0
465	0	890.4656652360514	0
466	0	888.558886509636	0
467	0	886.6602564102565	0
468	0	884.7697228144989	0
469	0	882.8872340425532	0
470	0	881.0127388535032	0
471	0	879.146186440678	0
472	0	877.2875264270613	0
473	0	875.4367088607595	0
474	0	873.5936842105264	0
475	0	871.7584033613446	0
476	0	869.930817610063	0
477	0	868.1108786610879	0
478	0	866.2985386221294	0
479	0	864.49375	0
480	0	862.6964656964657	0
481	0	860.9066390041494	0
482	0	859.1242236024844	0
483	0	857.349173553719	0
484	0	855.581443298969	0
485	0	853.820987654321	0
486	0	852.0677618069815	0
487	0	850.3217213114754	0
488	0	848.5828220858896	0
489	0	846.8510204081633	0
490	0	845.1262729124236	0
491	0	843.4085365853658	0
492	0	841.6977687626775	0
493	0	839.993927125506	0
494	0	838.2969696969697	0
495	0	836.6068548387096	0
496	0	834.9235412474849	0
497	0	833.2469879518072	0
498	0	831.5771543086172	0
499	0	829.914	0
